id,start_date,end_date,customer_name,customer_code,customer_email,customer_url,subject,lot_number,lot_description,winner_name,winner_code,price,currency
00197423bc7843898921462461370a07,2015-04-22T10:00:00+03:00,2015-04-27T10:00:00+03:00,"Державне підприємство ""Адміністрація морських портів України""",38727770,oleg.terpilovskiy@uspa.gov.ua,,"Код ДК 016-2010 27.33.1 «Пристрої електромонтажні""",,,"Товариство з обмеженою відповідальністю ""Грін Пауер""",38226186,2637.06,UAH
0027696dc29c49fa8626066b80db7924,2015-06-02T14:00:00+00:00,2015-06-09T14:00:00+00:00,"Філія ""Морська пошуково-рятувальна служба"" Державного підприємства ""Адміністрація морських портів України""",38960649,mto@sar.gov.ua,http://sar.gov.ua,Антифриз,,,"ТОВ ""Трек Любрікантс-Юг""",34673690,2975,UAH
0033da3b432e4dd78faeb2bd77e82d07,2015-09-02T12:00:00+03:00,2015-09-07T12:00:00+03:00,"Рівненська дирекція УДППЗ ""Укрпошта""",22565760,solovey-om@ukrposhta.ua,,"Інструменти та прилади вимірювальні, контрольні та випробовувальні, інші (електролічильники) код ДКПП 016-2010 26.51.6",,,"Товариство з обмеженою відповідальністю ""Грін Пауер""",38226186,7349,UAH
007be60fd8074ebcb3ee70f7e76ec940,2015-08-12T09:00:00+03:00,2015-08-13T17:00:00+03:00,"ДП ""Управління забезпечення функціонування об'єктів Чорнобильської АЕС""",36359955,grinko@chnpp.gov.ua,,"Машини обчислювальні, частини та приладдя до них ",,,ТОВ СІ-ЕЛ,30404738,27240.2,UAH
00865031d1f940af8c610dd864131766,2015-09-04T09:00:00+03:00,2015-09-10T17:00:00+03:00,КМКЛ № 4,30212155,shinderyk@kmkl4.kiev.ua,http://kmkl4.kiev.ua,Одяг гумовий,,,ДП Гемопласт сервіс,30177577,62056,UAH
008b1fcbb5a74daab321729e07ec0ba5,2015-08-10T09:00:00+03:00,2015-08-11T18:00:00+03:00,Міністерство оборони України,00034022,kirienkopv@gmail.com,http://mil.gov.ua/,Лот 11. Костюм літній польовий.,,,"ТОВ ""ІСО""",35920687,6901200,UAH
008b7f4574d94f4ca870af075ce48304,2015-06-12T10:00:00+03:00,2015-06-18T10:00:00+03:00,"Відокремлений підрозділ ""Південно - Західна електроенергетична система"" державного підприємства «Національна енергетична компанія «УКРЕНЕРГО» """,21725012,ps@rdcm.sw.energy.gov.ua,,"инструменты ручные, другие",,,ФОП Лук'ян Михайло Федорович,260431235,82400,UAH
0097c41cc74a4290ab5bcfcedc2baa80,2015-07-17T09:37:00+03:00,2015-07-22T09:37:00+03:00,"ДП ""НЕК Укренерго Житомирські магістральні електромережі""",22052380,mtz@mesr.zt.energy.gov.ua,http://ztmem.com.ua,Плита перекриття кабельних каналів,,,"ВК ""АГРОБУДМАЙСТЕР""",23295506,42900,UAH
00b50b4bbfe746cea4480b148163f0dc,2015-08-10T13:04:00+03:00,2015-08-14T12:04:00+03:00,"ДП ""Державна екологічна інспекція у Львівській області""",38057086,ivannagoddess@gmail.com,,Послуги по утилізації відпрацьованої офісної техніки.,,,"ТОВ ""Сучасний центр утилізації""",38962363,1890,UAH
00bb515d0e154ebd9a2853086a571a11,2015-09-15T09:00:00+03:00,2015-09-16T18:00:00+03:00,Міністерство оборони України,00034022,kirienkopv@gmail.com,http://mil.gov.ua/,Лот 3. Бронежилет “Корсар М3с - 1-4” або еквівалент.,,,"ТОВ ""НВП ""Темп-3000""",31778043,5840000,UAH
00bd086077f34041b9a03db451acfca2,2015-07-01T08:00:00+00:00,2015-07-03T07:30:00+00:00,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),37853361,kmda@kma.gov.ua,http://www.kievcity.gov.ua,дошка магнітно-маркерна,,,"Товариство з обмеженою відповідальністю ""Український папір""",25394112,1461,UAH
00c19ecc4fb249cebea2ce4eac04dc0c,2015-10-27T11:00:00+02:00,2015-10-28T13:00:00+02:00,"Комунальний заклад ""Чорнянська спеціальна загальноосвітня школа-інтернат І-ІІ ступенів""",20989125,chorna_internat1@mail.ru,,риба морожена,,,"ФОП ""Избаш О.В.""",3430705965,18300,UAH
